Course Code,Math,NS,CS,ES,ED
ACT230H1,0,0,30,0,0
APM462H1,36,0,0,0,0
APS380H1,0,0,0,22.875,22.875
APS470H1,0,0,12.8,29.9,0
APS502H1,0,0,0,18.3,18.3
AST121H1,0,24,0,0,0
AST221H1,0,36,0,0,0
AST251H1,0,30,0,0,0
BME330H1,0,0,18.3,18.3,0
BME412H1,0,27,0,9,0
BME530H1,0,9.15,0,27.45,0
CHE469H1,0,0,0,21.35,21.35
CHE471H1,0,0,0,44.8,0
CHE475H1,0,0,0,32,10.7
CHE507H1,0,0,0,42.7,0
CHE566H1,0,14.6,0,34.2,0
CIV375H1,0,12.3,0,24.7,12.3
CIV440H1,0,0,17.1,25.6,0
COG250Y1,0,0,60,0,0
CRE210H1,0,42,0,0,0
CSB201H1,0,15,15,0,0
CSB498Y1,0,0,0,0,0
CSC303H1,0,0,0,30,0
CSC309H1,0,0,0,22.5,7.5
CSC318H1,0,0,0,0,30
CSC320H1,0,0,0,30,0
CSC336H1,15,0,0,15,0
CSC367H1,0,0,0,30,0
CSC401H1,7.5,0,0,15,7.5
CSC404H1,0,0,15,15,0
CSC413H1,0,0,0,0,30
CSC417H1,7.5,0,0,22.5,0
CSC420H1,0,0,0,30,0
CSC428H1,0,0,0,30,0
CSC443H1,0,0,0,30,0
CSC463H1,15,0,0,15,0
CSC465H1,0,0,0,15,15
CSC469H1,0,0,0,18,12
CSC485H1,0,0,0,36,0
DMU313H1,0,0,30,0,0
ECE159H1,0,20.74,0,31.11,0
ECE253H1,0,0,0,32.94,21.96
ECE259H1,12.81,12.81,0,17.08,0
ECE349H1,0,0,0,51.85,0
ECE350H1,0,15.55,0,36.3,0
ECE352H1,0,0,0,27.45,27.45
ECE353H1,0,0,0,54.9,0
ECE354H1,0,0,0,22.875,22.875
ECE355H1,0,0,0,48.8,0
ECE356H1,0,0,0,38.89,12.96
ECE357H1,0,0,0,51.85,0
ECE358H1,0,0,0,42.7,0
ECE360H1,0,0,0,25.925,25.925
ECE363H1,0,0,0,51.85,0
ECE499H1,0,0,0,0,0
ECE499Y1,0,0,0,0,0
ECE557H1,0,0,0,38.89,12.96
EEB214H1,0,0,30,0,0
EEB386H1,0,36,0,0,0
ENV101H1,0,0,24,0,0
ENV200H1,0,26,0,0,0
ESS103H1,0,24,0,0,0
ESS105H1,0,24,0,0,0
ESS205H1,0,28,0,0,0
ESS241H1,0,41.6,0,0,0
ESS261H1,0,42,0,0,0
FOR200H1,0,0,30,0,0
FOR201H1,0,0,30,0,0
FOR300H1,0,36,0,0,0
FOR305H1,0,44,0,0,0
FOR310H1,0,7.5,7.5,15,0
FOR410H1,0,0,0,36,0
FOR419H1,0,9,27,0,0
FOR425H1,0,0,9.6,28.8,0
GGR101H1,0,24,0,0,0
GGR203H1,0,36,0,0,0
GGR272H1,0,0,30,0,0
GGR348H1,0,0,0,20.3,6.8
HIS205H1,0,0,30,0,0
HMB200H1,0,30,0,0,0
IMM250H1,0,24,0,0,0
JEG100H1,0,30,0,0,0
JPE395H1,0,6,18,0,0
JSC301H1,0,0,30,0,0
LIN232H1,0,0,30,0,0
MAT301H1,36,0,0,0,0
MAT327H1,36,0,0,0,0
MAT332H1,36,0,0,0,0
MAT336H1,42,0,0,0,0
MAT337H1,36,0,0,0,0
MAT363H1,36,0,0,0,0
MIE242H1,0,54.9,0,0,0
MIE342H1,0,0,0,35.1,15
MIE344H1,0,0,0,34.6,23
MIE369H1,0,0,0,38.4,12.8
MIE402H1,0,0,0,38.4,16.5
MIE439H1,0,12.1,0,12.1,24.1
MIE440H1,0,0,0,21.4,21.4
MIE443H1,0,0,0,17.3,40.3
MIE444H1,0,0,0,17.1,25.7
MIE469H1,0,0,0,38.4,12.8
MIE505H1,0,0,0,43.2,14.4
MIE519H1,0,0,0,19.2,19.2
MIE523H1,0,0,0,39.8,13.3
MIE535H1,0,0,0,48.6,0
MIE540H1,0,0,0,22.4,22.4
MIE561H1,0,0,0,25.6,25.6
MIE566H1,0,0,0,59,0
MIE567H1,12.8,0,0,25.6,12.8
MSE219H1,0,30.5,0,30.5,0
MSE335H1,0,33.6,0,11.2,0
MSE431H1,0,0,0,22.4,22.4
NFS284H1,0,36,0,0,0
PCL102H1,0,24,0,0,0
PHL342H1,0,0,30,0,0
PHL345H1,0,0,30,0,0
PHY354H1,0,30,0,0,0
PHY456H1,0,30,0,0,0
PHY485H1,0,24,0,0,0
PSL201Y1,0,56,0,0,0
PSY100H1,0,36,0,0,0
PSY220H1,0,0,30,0,0
ROB310H1,31.4,0,0,13.4,0
ROB311H1,0,0,0,44.8,0
STA220H1,36,0,0,0,0
STA304H1,9,0,27,0,0
