Course Code,Math,NS,CS,ES,ED
APM346H1,42.0,0.0,0.0,0.0,0.0
APS360H1,0.0,0.0,0.0,32.0,10.7
BME331H1,0.0,36.6,0.0,12.2,0.0
BME440H1,0.0,0.0,0.0,24.4,24.4
BME445H1,0.0,20.8,0.0,31.1,0.0
BME455H1,0.0,13.0,0.0,25.9,13.0
BME595H1,0.0,12.2,0.0,36.6,0.0
CHE353H1,0.0,36.6,0.0,0.0,0.0
CHE354H1,0.0,41.2,0.0,13.7,0.0
CIV220H1,0.0,29.9,0.0,12.8,0.0
CIV300H1,0.0,36.6,0.0,12.2,0.0
CSC317H1,0.0,0.0,0.0,21.0,9.0
CSC343H1,0.0,0.0,0.0,36.0,0.0
CSC384H1,0.0,0.0,0.0,30.0,0.0
CSC384H5,0.0,0.0,0.0,30.0,0.0
ECE302H1,48.8,0.0,0.0,0.0,0.0
ECE311H1,0.0,0.0,0.0,38.89,12.96
ECE313H1,0.0,0.0,0.0,51.85,0.0
ECE314H1,0.0,0.0,0.0,38.89,12.96
ECE316H1,0.0,0.0,0.0,51.85,0.0
ECE318H1,0.0,31.11,0.0,20.74,0.0
ECE320H1,0.0,30.11,0.0,20.74,0.0
ECE326H1,0.0,0.0,0.0,38.89,12.96
ECE330H1,0.0,29.28,0.0,19.52,0.0
ECE331H1,0.0,0.0,0.0,36.3,15.55
ECE334H1,0.0,0.0,0.0,36.3,15.55
ECE335H1,0.0,17.38,0.0,40.57,0.0
ECE342H1,0.0,0.0,0.0,27.45,27.45
ECE344H1,0.0,0.0,0.0,32.94,21.96
ECE345H1,0.0,0.0,0.0,36.6,12.2
ECE361H1,0.0,0.0,0.0,38.89,12.96
ECE367H1,24.4,0.0,0.0,24.4,0.0
ECE368H1,32.0,0.0,0.0,10.7,0.0
ECE381H1,0.0,0.0,0.0,48.8,0.0
ECE390H1,0.0,0.0,0.0,27.45,27.45
ECE410H1,0.0,0.0,0.0,38.89,12.96
ECE411H1,0.0,0.0,0.0,38.89,12.96
ECE412H1,0.0,0.0,0.0,24.4,24.4
ECE417H1,0.0,0.0,0.0,38.89,12.96
ECE419H1,0.0,0.0,0.0,25.925,25.925
ECE421H1,0.0,0.0,0.0,48.8,0.0
ECE422H1,0.0,0.0,0.0,38.89,12.96
ECE424H1,0.0,0.0,0.0,25.925,25.925
ECE427H1,0.0,12.2,0.0,36.6,0.0
ECE430H1,0.0,0.0,0.0,25.925,25.925
ECE431H1,0.0,0.0,0.0,38.89,12.96
ECE435H1,0.0,0.0,0.0,28.975,28.975
ECE437H1,0.0,0.0,0.0,27.45,27.45
ECE441H1,0.0,0.0,0.0,67.1,0.0
ECE442H1,0.0,0.0,0.0,56.4,0.0
ECE444H1,0.0,0.0,0.0,27.45,27.45
ECE446H1,0.0,11.43,0.0,16.01,18.3
ECE448H1,0.0,12.2,0.0,36.6,0.0
ECE454H1,0.0,0.0,0.0,27.45,27.45
ECE461H1,0.0,0.0,0.0,48.8,0.0
ECE462H1,0.0,0.0,0.0,48.8,0.0
ECE463H1,0.0,0.0,0.0,38.89,12.96
ECE464H1,0.0,0.0,0.0,38.89,12.96
ECE466H1,0.0,0.0,0.0,38.89,12.96
ECE467H1,0.0,0.0,0.0,38.89,12.96
ECE469H1,0.0,0.0,0.0,12.96,38.89
ECE470H1,0.0,12.96,0.0,38.89,0.0
ECE484H1,0.0,0.0,0.0,24.4,24.4
ECE516H1,0.0,0.0,0.0,41.175,13.725
ECE520H1,0.0,0.0,0.0,25.925,25.925
ECE526H1,0.0,0.0,0.0,48.8,0.0
ECE532H1,0.0,0.0,0.0,21.96,32.94
ECE537H1,48.8,0.0,0.0,0.0,0.0
ECE552H1,0.0,0.0,0.0,25.925,25.925
ECE568H1,0.0,0.0,0.0,27.45,27.45
ESC384H1,41.3,0.0,0.0,0.0,0.0
PHY356H1,0.0,30.0,0.0,0.0,0.0
PHY358H1,0.0,30.0,0.0,0.0,0.0
PHY365H1,0.0,15.0,0.0,15.0,0.0
