Course Code,Math,NS,CS,ES,ED
APS100H1,0,0,18.3,0,0
APS105H1,0,0,0,54.9,0
APS110H1,0,36.6,0,12.2,0
APS111H1,0,0,29.28,0,19.52
APS112H1,0,0,14.64,0,21.96
CIV100H1,0,34.16,0,14.64,0
ECE110H1,0,27.45,0,27.45,0
ECE191H1,0,0,0,12.2,0
ECE201H1,0,0,0,12.2,0
ECE212H1,0,0,0,57.95,0
ECE216H1,13.73,0,0,41.18,0
ECE221H1,0,41.18,0,13.73,0
ECE231H1,0,0,0,43.46,14.49
ECE241H1,0,0,0,27.45,27.45
ECE243H1,0,0,0,38.43,16.47
ECE244H1,0,0,0,41.18,13.73
ECE295H1,0,0,12.2,12.2,24.4
ECE297H1,0,0,24.4,0,24.4
MAT186H1,42.7,0,0,0,0
MAT187H1,42.7,0,0,0,0
MAT188H1,48.8,0,0,0,0
MAT290H1,48.8,0,0,0,0
MAT291H1,36.6,12.2,0,0,0
MIE100H1,0,34.16,0,14.64,0
