Course Code,Term,Course Name,Math,NS,CS,ES,ED
ACT230H1,F,Mathematics of Finance for Non-Actuaries,0,0,30,0,0
APM346H1,F,Partial Differential Equations,42,0,0,0,0
APM346H1,S,Partial Differential Equations,42,0,0,0,0
APM462H1,F,Nonlinear Optimization,36,0,0,0,0
APM462H1,S,Nonlinear Optimization,36,0,0,0,0
APS360H1,F,Applied Fundamentals of Deep Learning,0,0,0,32,10.7
APS360H1,S,Applied Fundamentals of Deep Learning,0,0,0,32,10.7
APS380H1,F,Introduction to Electric Vehicle Design,0,0,0,22.875,22.875
APS441H1,S,System-Theoretic Accident and Risk Analysis,0,0,17.08,0,25.62
APS470H1,F,Engineering and Public Health,0,0,12.8,29.9,0
APS502H1,F,Financial Engineering (free elective only),0,0,0,18.3,18.3
APS502H1,S,Financial Engineering (free elective only),0,0,0,18.3,18.3
AST121H1,S,Origin and Evolution of the Universe,0,24,0,0,0
AST210H1,F,Great Moments in Astronomy,0,24,0,0,0
AST221H1,F,Stars and Planets,0,36,0,0,0
AST251H1,S,Life on Other Worlds,0,30,0,0,0
BME330H1,S,Patents in Biology and Medical Devices,0,0,18.3,18.3,0
BME331H1,S,Physiological Control Systems,0,36.6,0,12.2,0
BME412H1,S,Introduction to Biomolecular Engineering,0,27,0,9,0
BME440H1,F,Biomedical Engineering Technology and Investigation,0,0,0,24.4,24.4
BME445H1,F,Neural Bioelectricity (formerly ECE445H1),0,20.8,0,31.1,0
BME455H1,F,Cellular and Molecular Bioengineering II,0,13,0,25.9,13
BME530H1,S,Human Whole Body Biomechanics,0,9.15,0,27.45,0
BME595H1,F,Medical Imaging,0,12.2,0,36.6,0
CHC368H1,S,Varieties of Christian Experience,0,0,30,0,0
CHE353H1,F,Engineering Biology,0,36.6,0,0,0
CHE354H1,S,Cellular and Molecular Biology,0,41.2,0,13.7,0
CHE416H1,S,Chemical Engineering in Human Health,0,42.7,0,0,0
CHE451H1,F,Petroleum Processing,0,0,0,36.6,0
CHE462H1,S,Food Engineering,0,0,0,42.7,0
CHE469H1,S,Fuel Cells and Electrochemical Conversion Devices,0,0,0,21.35,21.35
CHE471H1,S,Modelling in Biological and Chemical Systems,0,0,0,44.8,0
CHE475H1,S,Biocomposites: Mechanics and Bioinspiration,0,0,0,32,10.7
CHE507H1,S,Data-based Modelling for Prediction and Control,0,0,0,42.7,0
CHE566H1,F,Introduction to Nuclear Engineering,0,14.6,0,34.2,0
CHE568H1,S,Nuclear Engineering,0,12.8,0,29.9,0
CIV220H1,F,Urban Engineering Ecology,0,29.9,0,12.8,0
CIV300H1,F,Terrestrial Energy Systems,0,36.6,0,12.2,0
CIV300H1,S,Terrestrial Energy Systems,0,36.6,0,12.2,0
CIV375H1,F,Building Science,0,12.3,0,24.7,12.3
