Course Code,Area,Kernel
ECE318H1,1,1
ECE335H1,1,1
ECE427H1,1,0
ECE435H1,1,0
ECE442H1,1,0
ECE330H1,1,0
ECE437H1,1,0
ECE469H1,1,0
ECE314H1,2,1
ECE320H1,2,1
BME595H1,2,0
ECE424H1,2,0
ECE520H1,2,0
ECE526H1,2,0
ECE313H1,2,1
ECE422H1,2,0
ECE463H1,2,0
ECE331H1,3,1
ECE334H1,3,1
ECE424H1,3,0
ECE430H1,3,0
ECE435H1,3,0
ECE446H1,3,0
ECE412H1,3,0
ECE437H1,3,0
ECE532H1,3,0
ECE311H1,4,1
ECE316H1,4,1
BME445H1,4,0
BME595H1,4,0
ECE302H1,4,0
ECE410H1,4,0
ECE417H1,4,0
ECE421H1,4,0
ECE431H1,4,0
ECE441H1,4,0
ECE446H1,4,0
ECE470H1,4,0
ECE537H1,4,0
BME331H1,4,0
ECE368H1,4,0
ECE381H1,4,0
ECE411H1,4,0
ECE422H1,4,0
ECE462H1,4,0
ECE464H1,4,0
ECE469H1,4,0
ECE516H1,4,0
ECE361H1,5,1
ECE302H1,5,0
ECE461H1,5,0
ECE537H1,5,0
ECE552H1,5,0
ECE568H1,5,0
ECE342H1,5,1
ECE390H1,5,1
ECE462H1,5,0
ECE464H1,5,0
ECE466H1,5,0
ECE469H1,5,0
ECE532H1,5,0
ECE344H1,6,1
ECE345H1,6,1
APS360H1,6,0
CSC317H1,6,0
CSC343H1,6,0
CSC384H1,6,0
ECE326H1,6,0
ECE444H1,6,0
ECE454H1,6,0
ECE461H1,6,0
ECE467H1,6,0
ECE568H1,6,0
CSC384H5,6,0
ECE419H1,6,0
ECE448H1,6,0
ECE484H1,6,0
APM346H1,7,0
BME440H1,7,0
BME455H1,7,0
CHE353H1,7,0
CIV220H1,7,0
CIV300H1,7,0
ECE302H1,7,0
ECE367H1,7,0
ECE537H1,7,0
ESC384H1,7,0
PHY356H1,7,0
BME331H1,7,0
CHE354H1,7,0
ECE330H1,7,0
ECE368H1,7,0
ECE448H1,7,0
PHY358H1,7,0
PHY365H1,7,0
