acad_act_cd,section
ACT230H1,F
APM462H1,F
APM462H1,S
APS380H1,F
APS470H1,F
APS502H1,F
APS502H1,S
AST121H1,S
AST221H1,F
AST251H1,S
BME330H1,S
BME412H1,S
BME530H1,S
CHE469H1,S
CHE471H1,S
CHE475H1,S
CHE507H1,F
CHE566H1,F
CIV375H1,F
CIV440H1,F
COG250Y1,Y
CRE210H1,S
CSB201H1,F
CSB498Y1,Y
CSC303H1,S
CSC309H1,F
CSC309H1,S
CSC318H1,F
CSC318H1,S
CSC320H1,F
CSC336H1,F
CSC367H1,S
CSC401H1,S
CSC404H1,F
CSC404H1,S
CSC413H1,F
CSC413H1,S
CSC417H1,F
CSC420H1,F
CSC420H1,S
CSC428H1,S
CSC443H1,F
CSC463H1,F
CSC465H1,F
CSC469H1,S
CSC485H1,F
DMU313H1,F
ECE159H1,S
ECE253H1,F
ECE259H1,S
ECE349H1,F
ECE350H1,S
ECE352H1,F
ECE353H1,S
ECE354H1,S
ECE355H1,F
ECE356H1,S
ECE357H1,S
ECE358H1,F
ECE360H1,F
ECE363H1,S
ECE499H1,F
ECE499Y1,Y
ECE557H1,F
EEB214H1,F
EEB386H1,S
ENV101H1,S
ENV200H1,S
ESS103H1,F
ESS105H1,S
ESS205H1,F
ESS205H1,S
ESS241H1,F
ESS261H1,S
FOR200H1,F
FOR201H1,S
FOR300H1,S
FOR305H1,F
FOR310H1,S
FOR410H1,S
FOR419H1,S
FOR425H1,S
GGR101H1,S
GGR203H1,S
GGR272H1,F
GGR272H1,S
GGR348H1,F
HIS205H1,F
HMB200H1,S
IMM250H1,F
IMM250H1,S
JEG100H1,S
JPE395H1,S
JSC301H1,S
LIN232H1,F
MAT301H1,F
MAT301H1,S
MAT327H1,F
MAT332H1,F
MAT336H1,S
MAT337H1,F
MAT337H1,S
MAT363H1,S
MIE242H1,F
MIE342H1,F
MIE344H1,F
MIE369H1,S
MIE402H1,S
MIE439H1,F
MIE440H1,F
MIE443H1,S
MIE444H1,F
MIE469H1,S
MIE505H1,S
MIE519H1,S
MIE523H1,F
MIE535H1,S
MIE540H1,S
MIE561H1,S
MIE566H1,F
MIE567H1,S
MSE219H1,F
MSE335H1,S
MSE431H1,S
NFS284H1,F
NFS284H1,S
PCL102H1,S
PHL342H1,S
PHL345H1,F
PHY354H1,S
PHY456H1,F
PHY485H1,S
PSL201Y1,Y
PSY100H1,F
PSY100H1,S
PSY220H1,F
PSY220H1,S
ROB310H1,F
ROB311H1,S
STA220H1,F
STA220H1,S
STA304H1,F
