acad_act_cd,section
ECE318H1,F
ECE335H1,F
ECE427H1,F
ECE435H1,F
ECE442H1,F
ECE318H1,S
ECE330H1,S
ECE437H1,S
ECE469H1,S
ECE314H1,F
ECE320H1,F
BME595H1,F
ECE424H1,F
ECE520H1,F
ECE526H1,F
ECE313H1,S
ECE422H1,S
ECE463H1,S
ECE331H1,F
ECE334H1,F
ECE424H1,F
ECE430H1,F
ECE435H1,F
ECE446H1,F
ECE334H1,S
ECE412H1,S
ECE437H1,S
ECE532H1,S
ECE311H1,F
ECE316H1,F
BME445H1,F
BME595H1,F
ECE302H1,F
ECE410H1,F
ECE417H1,F
ECE421H1,F
ECE431H1,F
ECE441H1,F
ECE446H1,F
ECE470H1,F
ECE537H1,F
ECE311H1,S
ECE316H1,S
BME331H1,S
ECE302H1,S
ECE368H1,S
ECE381H1,S
ECE411H1,S
ECE421H1,S
ECE422H1,S
ECE462H1,S
ECE464H1,S
ECE469H1,S
ECE470H1,S
ECE516H1,S
ECE361H1,F
ECE302H1,F
ECE461H1,F
ECE537H1,F
ECE552H1,F
ECE568H1,F
ECE342H1,S
ECE361H1,S
ECE390H1,S
ECE302H1,S
ECE462H1,S
ECE464H1,S
ECE466H1,S
ECE469H1,S
ECE532H1,S
ECE568H1,S
ECE344H1,F
ECE345H1,F
APS360H1,F
CSC317H1,F
CSC343H1,F
CSC384H1,F
ECE326H1,F
ECE444H1,F
ECE454H1,F
ECE461H1,F
ECE467H1,F
ECE568H1,F
ECE344H1,S
ECE345H1,S
APS360H1,S
CSC343H1,S
CSC384H1,S
CSC384H5,S
ECE419H1,S
ECE448H1,S
ECE484H1,S
ECE568H1,S
APM346H1,F
BME440H1,F
BME455H1,F
CHE353H1,F
CIV220H1,F
CIV300H1,F
ECE302H1,F
ECE367H1,F
ECE537H1,F
ESC384H1,F
PHY356H1,F
APM346H1,S
BME331H1,S
CHE354H1,S
CIV300H1,S
ECE302H1,S
ECE330H1,S
ECE368H1,S
ECE448H1,S
PHY358H1,S
PHY365H1,S
